2017-07-16 17:27:46 startup archives install
2017-07-16 17:27:46 install base-passwd:i386 <none> 3.5.43
2017-07-16 17:27:46 status half-installed base-passwd:i386 3.5.43
2017-07-16 17:27:46 status unpacked base-passwd:i386 3.5.43
2017-07-16 17:27:46 status unpacked base-passwd:i386 3.5.43
2017-07-16 17:27:46 configure base-passwd:i386 3.5.43 3.5.43
2017-07-16 17:27:46 status unpacked base-passwd:i386 3.5.43
2017-07-16 17:27:46 status half-configured base-passwd:i386 3.5.43
2017-07-16 17:27:46 status installed base-passwd:i386 3.5.43
2017-07-16 17:27:46 startup archives install
2017-07-16 17:27:46 install base-files:i386 <none> 9.9
2017-07-16 17:27:46 status half-installed base-files:i386 9.9
2017-07-16 17:27:46 status unpacked base-files:i386 9.9
2017-07-16 17:27:46 status unpacked base-files:i386 9.9
2017-07-16 17:27:46 configure base-files:i386 9.9 9.9
2017-07-16 17:27:46 status unpacked base-files:i386 9.9
2017-07-16 17:27:46 status unpacked base-files:i386 9.9
2017-07-16 17:27:46 status unpacked base-files:i386 9.9
2017-07-16 17:27:46 status unpacked base-files:i386 9.9
2017-07-16 17:27:46 status unpacked base-files:i386 9.9
2017-07-16 17:27:46 status unpacked base-files:i386 9.9
2017-07-16 17:27:46 status unpacked base-files:i386 9.9
2017-07-16 17:27:46 status half-configured base-files:i386 9.9
2017-07-16 17:27:46 status installed base-files:i386 9.9
2017-07-16 17:27:46 startup archives install
2017-07-16 17:27:46 upgrade dpkg 1.18.24 1.18.24
2017-07-16 17:27:46 status half-configured dpkg 1.18.24
2017-07-16 17:27:46 status unpacked dpkg 1.18.24
2017-07-16 17:27:46 status half-installed dpkg 1.18.24
2017-07-16 17:27:46 status half-installed dpkg 1.18.24
2017-07-16 17:27:46 status unpacked dpkg:i386 1.18.24
2017-07-16 17:27:46 status unpacked dpkg:i386 1.18.24
2017-07-16 17:27:46 configure dpkg:i386 1.18.24 1.18.24
2017-07-16 17:27:46 status unpacked dpkg:i386 1.18.24
2017-07-16 17:27:47 status unpacked dpkg:i386 1.18.24
2017-07-16 17:27:47 status unpacked dpkg:i386 1.18.24
2017-07-16 17:27:47 status unpacked dpkg:i386 1.18.24
2017-07-16 17:27:47 status unpacked dpkg:i386 1.18.24
2017-07-16 17:27:47 status half-configured dpkg:i386 1.18.24
2017-07-16 17:27:47 status installed dpkg:i386 1.18.24
2017-07-16 17:27:47 startup archives install
2017-07-16 17:27:47 install libc6:i386 <none> 2.24-11
2017-07-16 17:27:47 status half-installed libc6:i386 2.24-11
2017-07-16 17:27:47 status unpacked libc6:i386 2.24-11
2017-07-16 17:27:47 status unpacked libc6:i386 2.24-11
2017-07-16 17:27:47 configure libc6:i386 2.24-11 2.24-11
2017-07-16 17:27:47 status unpacked libc6:i386 2.24-11
2017-07-16 17:27:47 status unpacked libc6:i386 2.24-11
2017-07-16 17:27:47 status half-configured libc6:i386 2.24-11
2017-07-16 17:27:47 status installed libc6:i386 2.24-11
2017-07-16 17:27:47 startup archives install
2017-07-16 17:27:47 install perl-base:i386 <none> 5.24.1-3
2017-07-16 17:27:47 status half-installed perl-base:i386 5.24.1-3
2017-07-16 17:27:48 status unpacked perl-base:i386 5.24.1-3
2017-07-16 17:27:48 status unpacked perl-base:i386 5.24.1-3
2017-07-16 17:27:48 configure perl-base:i386 5.24.1-3 5.24.1-3
2017-07-16 17:27:48 status unpacked perl-base:i386 5.24.1-3
2017-07-16 17:27:48 status half-configured perl-base:i386 5.24.1-3
2017-07-16 17:27:48 status installed perl-base:i386 5.24.1-3
2017-07-16 17:27:48 startup archives install
2017-07-16 17:27:48 install mawk:i386 <none> 1.3.3-17+b3
2017-07-16 17:27:48 status half-installed mawk:i386 1.3.3-17+b3
2017-07-16 17:27:48 status unpacked mawk:i386 1.3.3-17+b3
2017-07-16 17:27:48 status unpacked mawk:i386 1.3.3-17+b3
2017-07-16 17:27:48 configure mawk:i386 1.3.3-17+b3 1.3.3-17+b3
2017-07-16 17:27:48 status unpacked mawk:i386 1.3.3-17+b3
2017-07-16 17:27:48 status half-configured mawk:i386 1.3.3-17+b3
2017-07-16 17:27:48 status installed mawk:i386 1.3.3-17+b3
2017-07-16 17:27:48 startup archives install
2017-07-16 17:27:48 install debconf:all <none> 1.5.61
2017-07-16 17:27:48 status half-installed debconf:all 1.5.61
2017-07-16 17:27:48 status unpacked debconf:all 1.5.61
2017-07-16 17:27:48 status unpacked debconf:all 1.5.61
2017-07-16 17:27:48 configure debconf:all 1.5.61 1.5.61
2017-07-16 17:27:48 status unpacked debconf:all 1.5.61
2017-07-16 17:27:48 status unpacked debconf:all 1.5.61
2017-07-16 17:27:48 status unpacked debconf:all 1.5.61
2017-07-16 17:27:48 status half-configured debconf:all 1.5.61
2017-07-16 17:27:48 status installed debconf:all 1.5.61
2017-07-16 17:27:49 startup archives unpack
2017-07-16 17:27:49 install libacl1:i386 <none> 2.2.52-3+b1
2017-07-16 17:27:49 status half-installed libacl1:i386 2.2.52-3+b1
2017-07-16 17:27:49 status unpacked libacl1:i386 2.2.52-3+b1
2017-07-16 17:27:49 status unpacked libacl1:i386 2.2.52-3+b1
2017-07-16 17:27:49 install libattr1:i386 <none> 1:2.4.47-2+b2
2017-07-16 17:27:49 status half-installed libattr1:i386 1:2.4.47-2+b2
2017-07-16 17:27:49 status unpacked libattr1:i386 1:2.4.47-2+b2
2017-07-16 17:27:49 status unpacked libattr1:i386 1:2.4.47-2+b2
2017-07-16 17:27:49 install libaudit-common:all <none> 1:2.6.7-2
2017-07-16 17:27:49 status half-installed libaudit-common:all 1:2.6.7-2
2017-07-16 17:27:49 status unpacked libaudit-common:all 1:2.6.7-2
2017-07-16 17:27:49 status unpacked libaudit-common:all 1:2.6.7-2
2017-07-16 17:27:49 install libaudit1:i386 <none> 1:2.6.7-2
2017-07-16 17:27:49 status half-installed libaudit1:i386 1:2.6.7-2
2017-07-16 17:27:49 status unpacked libaudit1:i386 1:2.6.7-2
2017-07-16 17:27:49 status unpacked libaudit1:i386 1:2.6.7-2
2017-07-16 17:27:49 upgrade base-files:i386 9.9 9.9
2017-07-16 17:27:49 status half-configured base-files:i386 9.9
2017-07-16 17:27:49 status unpacked base-files:i386 9.9
2017-07-16 17:27:49 status half-installed base-files:i386 9.9
2017-07-16 17:27:49 status half-installed base-files:i386 9.9
2017-07-16 17:27:49 status unpacked base-files:i386 9.9
2017-07-16 17:27:49 status unpacked base-files:i386 9.9
2017-07-16 17:27:49 upgrade base-passwd:i386 3.5.43 3.5.43
2017-07-16 17:27:49 status half-configured base-passwd:i386 3.5.43
2017-07-16 17:27:49 status unpacked base-passwd:i386 3.5.43
2017-07-16 17:27:49 status half-installed base-passwd:i386 3.5.43
2017-07-16 17:27:49 status half-installed base-passwd:i386 3.5.43
2017-07-16 17:27:49 status unpacked base-passwd:i386 3.5.43
2017-07-16 17:27:49 status unpacked base-passwd:i386 3.5.43
2017-07-16 17:27:49 install bash:i386 <none> 4.4-5
2017-07-16 17:27:49 status half-installed bash:i386 4.4-5
2017-07-16 17:27:49 status unpacked bash:i386 4.4-5
2017-07-16 17:27:49 status unpacked bash:i386 4.4-5
2017-07-16 17:27:49 install libbz2-1.0:i386 <none> 1.0.6-8.1
2017-07-16 17:27:49 status half-installed libbz2-1.0:i386 1.0.6-8.1
2017-07-16 17:27:49 status unpacked libbz2-1.0:i386 1.0.6-8.1
2017-07-16 17:27:49 status unpacked libbz2-1.0:i386 1.0.6-8.1
2017-07-16 17:27:49 install libdebconfclient0:i386 <none> 0.227
2017-07-16 17:27:49 status half-installed libdebconfclient0:i386 0.227
2017-07-16 17:27:49 status unpacked libdebconfclient0:i386 0.227
2017-07-16 17:27:49 status unpacked libdebconfclient0:i386 0.227
2017-07-16 17:27:49 install coreutils:i386 <none> 8.26-3
2017-07-16 17:27:49 status half-installed coreutils:i386 8.26-3
2017-07-16 17:27:50 status unpacked coreutils:i386 8.26-3
2017-07-16 17:27:50 status unpacked coreutils:i386 8.26-3
2017-07-16 17:27:50 install dash:i386 <none> 0.5.8-2.4
2017-07-16 17:27:50 status half-installed dash:i386 0.5.8-2.4
2017-07-16 17:27:50 status unpacked dash:i386 0.5.8-2.4
2017-07-16 17:27:50 status unpacked dash:i386 0.5.8-2.4
2017-07-16 17:27:50 install libdb5.3:i386 <none> 5.3.28-12+b1
2017-07-16 17:27:50 status half-installed libdb5.3:i386 5.3.28-12+b1
2017-07-16 17:27:50 status unpacked libdb5.3:i386 5.3.28-12+b1
2017-07-16 17:27:50 status unpacked libdb5.3:i386 5.3.28-12+b1
2017-07-16 17:27:50 upgrade debconf:all 1.5.61 1.5.61
2017-07-16 17:27:50 status half-configured debconf:all 1.5.61
2017-07-16 17:27:50 status unpacked debconf:all 1.5.61
2017-07-16 17:27:50 status half-installed debconf:all 1.5.61
2017-07-16 17:27:50 status half-installed debconf:all 1.5.61
2017-07-16 17:27:50 status unpacked debconf:all 1.5.61
2017-07-16 17:27:50 status unpacked debconf:all 1.5.61
2017-07-16 17:27:50 install debianutils:i386 <none> 4.8.1.1
2017-07-16 17:27:50 status half-installed debianutils:i386 4.8.1.1
2017-07-16 17:27:50 status unpacked debianutils:i386 4.8.1.1
2017-07-16 17:27:50 status unpacked debianutils:i386 4.8.1.1
2017-07-16 17:27:50 install diffutils:i386 <none> 1:3.5-3
2017-07-16 17:27:50 status half-installed diffutils:i386 1:3.5-3
2017-07-16 17:27:50 status unpacked diffutils:i386 1:3.5-3
2017-07-16 17:27:50 status unpacked diffutils:i386 1:3.5-3
2017-07-16 17:27:50 upgrade dpkg:i386 1.18.24 1.18.24
2017-07-16 17:27:50 status half-configured dpkg:i386 1.18.24
2017-07-16 17:27:50 status unpacked dpkg:i386 1.18.24
2017-07-16 17:27:50 status half-installed dpkg:i386 1.18.24
2017-07-16 17:27:51 status half-installed dpkg:i386 1.18.24
2017-07-16 17:27:51 status unpacked dpkg:i386 1.18.24
2017-07-16 17:27:51 status unpacked dpkg:i386 1.18.24
2017-07-16 17:27:51 install e2fslibs:i386 <none> 1.43.4-2
2017-07-16 17:27:51 status half-installed e2fslibs:i386 1.43.4-2
2017-07-16 17:27:51 status unpacked e2fslibs:i386 1.43.4-2
2017-07-16 17:27:51 status unpacked e2fslibs:i386 1.43.4-2
2017-07-16 17:27:51 install e2fsprogs:i386 <none> 1.43.4-2
2017-07-16 17:27:51 status half-installed e2fsprogs:i386 1.43.4-2
2017-07-16 17:27:51 status unpacked e2fsprogs:i386 1.43.4-2
2017-07-16 17:27:51 status unpacked e2fsprogs:i386 1.43.4-2
2017-07-16 17:27:51 install libcomerr2:i386 <none> 1.43.4-2
2017-07-16 17:27:51 status half-installed libcomerr2:i386 1.43.4-2
2017-07-16 17:27:51 status unpacked libcomerr2:i386 1.43.4-2
2017-07-16 17:27:51 status unpacked libcomerr2:i386 1.43.4-2
2017-07-16 17:27:51 install libss2:i386 <none> 1.43.4-2
2017-07-16 17:27:51 status half-installed libss2:i386 1.43.4-2
2017-07-16 17:27:51 status unpacked libss2:i386 1.43.4-2
2017-07-16 17:27:51 status unpacked libss2:i386 1.43.4-2
2017-07-16 17:27:51 install findutils:i386 <none> 4.6.0+git+20161106-2
2017-07-16 17:27:51 status half-installed findutils:i386 4.6.0+git+20161106-2
2017-07-16 17:27:51 status unpacked findutils:i386 4.6.0+git+20161106-2
2017-07-16 17:27:51 status unpacked findutils:i386 4.6.0+git+20161106-2
2017-07-16 17:27:51 install gcc-6-base:i386 <none> 6.3.0-18
2017-07-16 17:27:51 status half-installed gcc-6-base:i386 6.3.0-18
2017-07-16 17:27:51 status unpacked gcc-6-base:i386 6.3.0-18
2017-07-16 17:27:51 status unpacked gcc-6-base:i386 6.3.0-18
2017-07-16 17:27:51 install libgcc1:i386 <none> 1:6.3.0-18
2017-07-16 17:27:51 status half-installed libgcc1:i386 1:6.3.0-18
2017-07-16 17:27:51 status unpacked libgcc1:i386 1:6.3.0-18
2017-07-16 17:27:51 status unpacked libgcc1:i386 1:6.3.0-18
2017-07-16 17:27:51 install libc-bin:i386 <none> 2.24-11
2017-07-16 17:27:51 status half-installed libc-bin:i386 2.24-11
2017-07-16 17:27:51 status unpacked libc-bin:i386 2.24-11
2017-07-16 17:27:51 status unpacked libc-bin:i386 2.24-11
2017-07-16 17:27:51 upgrade libc6:i386 2.24-11 2.24-11
2017-07-16 17:27:51 status half-configured libc6:i386 2.24-11
2017-07-16 17:27:51 status unpacked libc6:i386 2.24-11
2017-07-16 17:27:51 status half-installed libc6:i386 2.24-11
2017-07-16 17:27:52 status half-installed libc6:i386 2.24-11
2017-07-16 17:27:52 status unpacked libc6:i386 2.24-11
2017-07-16 17:27:52 status unpacked libc6:i386 2.24-11
2017-07-16 17:27:52 install multiarch-support:i386 <none> 2.24-11
2017-07-16 17:27:52 status half-installed multiarch-support:i386 2.24-11
2017-07-16 17:27:52 status unpacked multiarch-support:i386 2.24-11
2017-07-16 17:27:52 status unpacked multiarch-support:i386 2.24-11
2017-07-16 17:27:52 install grep:i386 <none> 2.27-2
2017-07-16 17:27:52 status half-installed grep:i386 2.27-2
2017-07-16 17:27:52 status unpacked grep:i386 2.27-2
2017-07-16 17:27:52 status unpacked grep:i386 2.27-2
2017-07-16 17:27:52 install gzip:i386 <none> 1.6-5+b1
2017-07-16 17:27:52 status half-installed gzip:i386 1.6-5+b1
2017-07-16 17:27:52 status unpacked gzip:i386 1.6-5+b1
2017-07-16 17:27:52 status unpacked gzip:i386 1.6-5+b1
2017-07-16 17:27:52 install hostname:i386 <none> 3.18+b1
2017-07-16 17:27:52 status half-installed hostname:i386 3.18+b1
2017-07-16 17:27:52 status unpacked hostname:i386 3.18+b1
2017-07-16 17:27:52 status unpacked hostname:i386 3.18+b1
2017-07-16 17:27:52 install init-system-helpers:all <none> 1.48
2017-07-16 17:27:52 status half-installed init-system-helpers:all 1.48
2017-07-16 17:27:52 status unpacked init-system-helpers:all 1.48
2017-07-16 17:27:52 status unpacked init-system-helpers:all 1.48
2017-07-16 17:27:52 install libcap-ng0:i386 <none> 0.7.7-3+b1
2017-07-16 17:27:52 status half-installed libcap-ng0:i386 0.7.7-3+b1
2017-07-16 17:27:52 status unpacked libcap-ng0:i386 0.7.7-3+b1
2017-07-16 17:27:52 status unpacked libcap-ng0:i386 0.7.7-3+b1
2017-07-16 17:27:52 install libgcrypt20:i386 <none> 1.7.6-2
2017-07-16 17:27:52 status half-installed libgcrypt20:i386 1.7.6-2
2017-07-16 17:27:52 status unpacked libgcrypt20:i386 1.7.6-2
2017-07-16 17:27:52 status unpacked libgcrypt20:i386 1.7.6-2
2017-07-16 17:27:52 install libgpg-error0:i386 <none> 1.26-2
2017-07-16 17:27:52 status half-installed libgpg-error0:i386 1.26-2
2017-07-16 17:27:52 status unpacked libgpg-error0:i386 1.26-2
2017-07-16 17:27:52 status unpacked libgpg-error0:i386 1.26-2
2017-07-16 17:27:52 install libselinux1:i386 <none> 2.6-3+b1
2017-07-16 17:27:52 status half-installed libselinux1:i386 2.6-3+b1
2017-07-16 17:27:53 status unpacked libselinux1:i386 2.6-3+b1
